店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
宴の郷 La’なら（らなら） ,050-5494-6764,,香川県,高松市伏石町,2083-14,,,
個室 肉割烹 牛若丸 高松瓦町店 ,050-5489-1394,,香川県,高松市今新町,1-14,坂東第3ビル2F,,
じんUTAZU ,050-5493-4032,,香川県,綾歌郡宇多津町浜,2-12-5,,,
クルーズカフェ ,050-5493-4001,,香川県,丸亀市蓬莱町,56-1,,,
イカの姿造り×九州料理 個室居酒屋 弁慶 高松瓦町店,050-5486-7096,,香川県,高松市丸亀町,12-7,,,
瀬戸内の鮮魚と骨付鳥 神童ろ ,050-5486-6255,,香川県,高松市西の丸町,5-8,,,
ぴこぴこ精肉店 宇多津 ,050-5493-3974,,香川県,綾歌郡宇多津町浜,2-12-5,,,
カルビ屋 大福 宇多津ゴールドタワー店,050-5487-7099,,香川県,綾歌郡宇多津町浜一番丁,8-1,,,
個室 藁焼き×日本酒処 龍馬 高松瓦町店 ,050-5489-1644,,香川県,高松市今新町,1-14,坂東第3ビル3F,,
トラットリア たにぐち ,050-5494-8562,,香川県,高松市亀井町,8-9,ハウス809 1F,,
魚料理 おか ,050-5488-5158,,香川県,高松市内町,3-3,山ビル1F,,
中国料理 桃煌 ,050-5488-3964,,香川県,高松市浜ノ町,1-1,2F,,
とり鉄 高松古馬場店,050-5487-9757,,香川県,高松市古馬場町,8-1,,,
オークラホテル丸亀 グリーンラウンジ ,050-5488-7241,,香川県,丸亀市富士見町,3-3-50,,,
イタ飯酒場 Salute ,050-5487-1318,,香川県,高松市磨屋町,8-4,植村ビル1F,,
瀬戸内フレンチAura（アウラ） ,087-831-0118,,香川県,高松市北浜町,3-2,,,
手作り豆腐とおばんざい 天水分（あめのみくまり）,050-5488-1118,,香川県,観音寺市大野原町大野原,5016,,,
炭焼肉の近どう 観音寺店 ,050-5493-3403,,香川県,観音寺市村黒町,756-12,,,
にく味 新（あらた） ,050-5494-4827,,香川県,高松市鍛冶屋町,4-7,藤ビル1F,,
日本料理 瀬戸 ,050-5488-3978,,香川県,高松市浜ノ町,1-1,2F,,
ステーキハウス 听 高松店,050-5484-1561,,香川県,高松市丸ノ内,11-9,大内ビル1F,,
炭焼 肉の近どう 丸亀店 ,0877-35-8989,,香川県,丸亀市今津町,560,,,
カルビ屋 大福 高松東バイパス店,050-5486-7898,,香川県,高松市伏石町,2166-9,,,
IZAKAYA 時々jiji 観音寺店,050-5487-0831,,香川県,観音寺市昭和町,1-8-39,,,
瀬戸内鮮魚地鶏屋 高松鍛冶屋町店,050-5487-9663,,香川県,高松市鍛冶屋町,4-21,ワンフットビル1F,,
四国・讃岐 ぴかでり屋 ,050-5485-6524,,香川県,高松市福田町,9-5,,,
焼肉なかむら 香川町本店 ,087-879-8929,,香川県,高松市香川町大野,444-14,,,
中国酒家 ,050-5486-6354,,香川県,高松市常磐町,2-2-1,グレートサクセスビル1F,,
個室居酒屋 くいもの屋わん 高松南新町店,050-5484-3178,,香川県,高松市南新町,1-4,富田ビル2F,,
古今 ,050-5494-5647,,香川県,高松市瓦町,1-3-14,,,
レストラン フィオーレ ,050-5488-3967,,香川県,高松市浜ノ町,1-1,20F,,
北角（ノースポイント） ,050-5485-2481,,香川県,高松市西の丸町,1-26,大川バスビルB1,,
ほくろ屋 ,050-5485-2565,,香川県,丸亀市土器町東,9-284,CLOVERSHOEIビル A棟1F,,
四季懐石 櫂 ,050-5485-9442,,香川県,高松市古馬場町,6-13,,,
ぴこぴこ精肉店 春日 ,050-5493-1328,,香川県,高松市春日町,1695-1,,,
炭焼きカルビ ぼっけぇ ,050-5486-7553,,香川県,高松市亀井町,9-8,大塚ビル1F,,
チーズサムギョプサル＆ロングユッケ寿司 MoiM 高松店 ,050-5492-6493,,香川県,高松市鍛冶屋町,4-20,,,
IZAKAYA 時々jiji 高瀬店,050-5487-0844,,香川県,三豊市高瀬町比地,113-1,,,
鉄板焼 ふじいさん ,050-5487-8018,,香川県,高松市瓦町,1-4-13,,,
Grill Restaurant MOCHA ,050-5486-9004,,香川県,観音寺市植田町,1683-5,,,
グリル プランチャ（Grill Plancha） ,050-5487-1544,,香川県,高松市丸亀町,11-3,スミレビル2F,,
魚民 宇多津店,0877-41-0188,,香川県,綾歌郡宇多津町浜二番丁,20-13,オークプラザ 1F,,
カルビ屋大福 丸亀南店 ,050-5494-1283,,香川県,丸亀市川西町南,1280-1,フジグラン丸亀別棟,,
食と酒 風のじょうけい ,050-5494-5402,,香川県,高松市川島東町,497-18,,,
三代目鳥メロ 高松南新町店 ,050-5492-3969,,香川県,高松市南新町,12-5,タカラヤビル3F,,
日本料理 でん穂 ,050-5487-3250,,香川県,高松市御坊町,10-9,,,
串焼ホルモン 壽 ,050-5487-9190,,香川県,高松市丸亀町,10-4,,,
Nord un（ノーアン） ,050-5486-2176,,香川県,高松市大工町,1-7,大利根ビル1F,,
Sanuki Wa‐Fu Dining 真 SIN ,050-5488-8758,,香川県,高松市西の丸町,2-22,,,
ぴこぴこ精肉店 サンフラワー通り ,050-5493-1302,,香川県,高松市伏石町,2137-2,,,
