店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
宴の郷 La’なら（らなら） ,050-5494-6764,,香川県,高松市伏石町,2083-14,,https://s544000.gorp.jp/,True
個室 肉割烹 牛若丸 高松瓦町店 ,050-5489-1394,,香川県,高松市今新町,1-14,坂東第3ビル2F,https://y500733.gorp.jp/,True
じんUTAZU ,050-5493-4032,,香川県,綾歌郡宇多津町浜,2-12-5,,https://s563507.gorp.jp/,True
クルーズカフェ ,050-5493-4001,,香川県,丸亀市蓬莱町,56-1,,https://s563503.gorp.jp/,True
イカの姿造り×九州料理 個室居酒屋 弁慶 高松瓦町店,050-5486-7096,,香川県,高松市丸亀町,12-7,,https://benkei-takamatsu.gorp.jp/,True
瀬戸内の鮮魚と骨付鳥 神童ろ ,050-5486-6255,,香川県,高松市西の丸町,5-8,,https://kaisennizakayawarajiro.gorp.jp/,True
ぴこぴこ精肉店 宇多津 ,050-5493-3974,,香川県,綾歌郡宇多津町浜,2-12-5,,https://s563506.gorp.jp/,True
カルビ屋 大福 宇多津ゴールドタワー店,050-5487-7099,,香川県,綾歌郡宇多津町浜一番丁,8-1,,https://s419406.gorp.jp/,True
個室 藁焼き×日本酒処 龍馬 高松瓦町店 ,050-5489-1644,,香川県,高松市今新町,1-14,坂東第3ビル3F,https://y500732.gorp.jp/,True
トラットリア たにぐち ,050-5494-8562,,香川県,高松市亀井町,8-9,ハウス809 1F,https://s546000.gorp.jp/,True
魚料理 おか ,050-5488-5158,,香川県,高松市内町,3-3,山ビル1F,https://s512600.gorp.jp/,True
中国料理 桃煌 ,050-5488-3964,,香川県,高松市浜ノ町,1-1,2F,https://s441502.gorp.jp/,True
とり鉄 高松古馬場店,050-5487-9757,,香川県,高松市古馬場町,8-1,,https://gaed862.gorp.jp/,True
オークラホテル丸亀 グリーンラウンジ ,050-5488-7241,,香川県,丸亀市富士見町,3-3-50,,https://s518700.gorp.jp/,True
イタ飯酒場 Salute ,050-5487-1318,,香川県,高松市磨屋町,8-4,植村ビル1F,https://salute-salute.gorp.jp/,True
瀬戸内フレンチAura（アウラ） ,087-831-0118,,香川県,高松市北浜町,3-2,,https://s525701.gorp.jp/,True
手作り豆腐とおばんざい 天水分（あめのみくまり）,050-5488-1118,,香川県,観音寺市大野原町大野原,5016,,https://s503800.gorp.jp/,True
炭焼肉の近どう 観音寺店 ,050-5493-3403,,香川県,観音寺市村黒町,756-12,,https://s436713.gorp.jp/,True
にく味 新（あらた） ,050-5494-4827,,香川県,高松市鍛冶屋町,4-7,藤ビル1F,https://s531600.gorp.jp/,True
日本料理 瀬戸 ,050-5488-3978,,香川県,高松市浜ノ町,1-1,2F,https://s441501.gorp.jp/,True
個室 肉割烹 牛若丸 高松瓦町店 ,050-5489-1394,,香川県,高松市今新町,1-14,坂東第3ビル2F,https://y500733.gorp.jp/,True
オークラホテル丸亀 グリーンラウンジ ,050-5488-7241,,香川県,丸亀市富士見町,3-3-50,,https://s518700.gorp.jp/,True
全室個室 京風旬菜 鮨 みづは堂,050-5493-6015,,香川県,高松市瓦町,2-9-5,,https://s570600.gorp.jp/,True
個室 藁焼き×日本酒処 龍馬 高松瓦町店 ,050-5489-1644,,香川県,高松市今新町,1-14,坂東第3ビル3F,https://y500732.gorp.jp/,True
とり鉄 高松古馬場店,050-5487-9757,,香川県,高松市古馬場町,8-1,,https://gaed862.gorp.jp/,True
mio paese （ミオ パエーゼ） ,050-5486-4851,,香川県,高松市今新町,7-4,杉本ビル1F,https://s580200.gorp.jp/,True
トラットリア たにぐち ,050-5494-8562,,香川県,高松市亀井町,8-9,ハウス809 1F,https://s546000.gorp.jp/,True
じんUTAZU ,050-5493-4032,,香川県,綾歌郡宇多津町浜,2-12-5,,https://s563507.gorp.jp/,True
炭焼 肉の近どう 丸亀店 ,0877-35-8989,,香川県,丸亀市今津町,560,,https://s436712.gorp.jp/,True
クルーズカフェ ,050-5493-4001,,香川県,丸亀市蓬莱町,56-1,,https://s563503.gorp.jp/,True
居酒屋 えいと ,050-5487-5382,,香川県,高松市瓦町,1-9-9,瓦町ビル1F,https://izakaya-eight.gorp.jp/,True
イカの姿造り×九州料理 個室居酒屋 弁慶 高松瓦町店,050-5486-7096,,香川県,高松市丸亀町,12-7,,https://benkei-takamatsu.gorp.jp/,True
ほくろ屋 ,050-5485-2565,,香川県,丸亀市土器町東,9-284,CLOVERSHOEIビル A棟1F,,True
